*a,Α
a(giolo/gos,ἁγιολόγος
a(giopoie/w,ἁγιοποιέω
a(/gios,ἅγιος
a(gio/ths,ἁγιότης
a(gismo/s,ἁγισμός
a(gistei/a,ἁγιστεία
a(gi/steuma,ἁγίστευμα
a(gisteu/w,ἁγιστεύω
a(gisth/rion,ἁγιστήριον
a(gisto/s,ἁγιστός
a(gistu/s,ἁγιστύς
a(giw/dws,ἁγιώδως
a(giwsu/nh,ἁγιωσύνη
a)gk,ἀγκ
a)gka/zomai,ἀγκάζομαι
a)/gkaqen,ἄγκαθεν
a)gka/lh,ἀγκάλη
a)gkalidagwge/w,ἀγκαλιδαγωγέω
a)gkalidagwgo/s,ἀγκαλιδαγωγός
a)gkali/dh,ἀγκαλίδη
a)gkali/zomai,ἀγκαλίζομαι
a)gkali=nai,ἀγκαλῖναι
a)gkali/s,ἀγκαλίς
a)gka/lisma,ἀγκάλισμα
a)gkalismo/s,ἀγκαλισμός
a)/gkalos,ἄγκαλος
a)gkalpi/s,ἀγκαλπίς
a)gka/s,ἀγκάς
a)gkh/,ἀγκή
a)gkhqh/s,ἀγκηθής
a)gkistrei/a,ἀγκιστρεία
a)gkistreutiko/s,ἀγκιστρευτικός
a)gkistreu/w,ἀγκιστρεύω
a)gki/strion,ἀγκίστριον
a)gkistro/detos,ἀγκιστρόδετος
a)gkistroeidh/s,ἀγκιστροειδής
a)/gkistron,ἄγκιστρον
a)gkistro/omai,ἀγκιστρόομαι
a)gkistropw/lhs,ἀγκιστροπώλης
a)gkistrofa/gos,ἀγκιστροφάγος
a)gkistrw/dhs,ἀγκιστρώδης
a)gkistrwto/s,ἀγκιστρωτός
a)gkla/rion,ἀγκλάριον
a)gkli/nw,ἀγκλίνω
a)gklo/n,ἀγκλόν
a)/gkoina,ἄγκοινα
a)gkoini/zw,ἀγκοινίζω
a)gkomida/,ἀγκομιδά
a)gkoni/w,ἀγκονίω
a)gkopth/r,ἀγκοπτήρ
a)/gkos,ἄγκος
a)gkotu/lh,ἀγκοτύλη
a)gkth/r,ἀγκτήρ
a)gkule/ndetos,ἀγκυλένδετος
a)gkule/omai,ἀγκυλέομαι
a)gku/lh,ἀγκύλη
a)gkulhto/s,ἀγκυλητός
a)gkulidwto/s,ἀγκυλιδωτός
a)gkuli/zomai,ἀγκυλίζομαι
a)gku/lion,ἀγκύλιον
a)gkuli/s,ἀγκυλίς
a)gku/llw,ἀγκύλλω
a)gkuloble/faron,ἀγκυλοβλέφαρον
a)gkulo/glwsson,ἀγκυλόγλωσσον
a)gkuloglw/xin,ἀγκυλογλώχιν
a)gkulo/deiros,ἀγκυλόδειρος
a)gkulo/dous,ἀγκυλόδους
a)gkuloeidh/s,ἀγκυλοειδής
a)gkulokope/w,ἀγκυλοκοπέω
a)gkulo/kuklos,ἀγκυλόκυκλος
a)gkulo/kwlos,ἀγκυλόκωλος
a)gkulomaxi/a,ἀγκυλομαχία
a)gkulomh/ths,ἀγκυλομήτης
a)gkulo/mhtis,ἀγκυλόμητις
a)gkulo/pous,ἀγκυλόπους
a)gku/los,ἀγκύλος
a)gkulo/tocos,ἀγκυλότοξος
a)gkuloxei/lhs,ἀγκυλοχείλης
a)gkuloxh/lhs,ἀγκυλοχήλης
a)gkulo/w,ἀγκυλόω
a)gku/lwma,ἀγκύλωμα
a)gku/lwsis,ἀγκύλωσις
a)gkulwto/s,ἀγκυλωτός
a)/gkura,ἄγκυρα
a)gkurhbo/lion,ἀγκυρηβόλιον
a)gkuri/zw,ἀγκυρίζω
a)gku/rion,ἀγκύριον
a)/gkuris,ἄγκυρις
a)gku/risma,ἀγκύρισμα
a)gkuri/ths,ἀγκυρίτης
a)gkuri/ttei,ἀγκυρίττει
a)gkurobole/w,ἀγκυροβολέω
a)gkurobo/lion,ἀγκυροβόλιον
a)gkuroeidh/s,ἀγκυροειδής
a)gkuro/maxos,ἀγκυρόμαχος
a)gkuromh/lh,ἀγκυρομήλη
a)gkurouxi/a,ἀγκυρουχία
a)gkurwto/s,ἀγκυρωτός
a)gkwbo/los,ἀγκωβόλος
a)gkw/n,ἀγκών
a)gkw/nh,ἀγκώνη
a)gkwni/zw,ἀγκωνίζω
a)gkw/nion,ἀγκώνιον
a)gkwni/skion,ἀγκωνίσκιον
a)gkwni/skos,ἀγκωνίσκος
a)gkwnismo/s,ἀγκωνισμός
a)gkwno/desmos,ἀγκωνόδεσμος
a)gkwnoeidh/s,ἀγκωνοειδής
a)glae/qeiros,ἀγλαέθειρος
a)glai/+a,ἀγλαΐα
a)gla/i+sma,ἀγλάϊσμα
a)glai+smo/s,ἀγλαϊσμός
a)glai+sto/s,ἀγλαϊστός
a)glao/botrus,ἀγλαόβοτρυς
a)glao/guios,ἀγλαόγυιος
a)glao/dendros,ἀγλαόδενδρος
a)glao/dwros,ἀγλαόδωρος
a)glaoergo/s,ἀγλαοεργός
a)glaoqhle/s,ἀγλαοθηλές
a)glao/qronos,ἀγλαόθρονος
a)glao/qumos,ἀγλαόθυμος
a)glao/karpos,ἀγλαόκαρπος
a)glao/koitos,ἀγλαόκοιτος
a)glao/kouros,ἀγλαόκουρος
a)glao/kwmos,ἀγλαόκωμος
a)glaomeidh/s,ἀγλαομειδής
a)glaomhti/a,ἀγλαομητία
a)glao/mhtis,ἀγλαόμητις
a)glaomorfe/w,ἀγλαομορφέω
a)glao/morfos,ἀγλαόμορφος
a)glao/pais,ἀγλαόπαις
a)glao/peplos,ἀγλαόπεπλος
a)glao/phxus,ἀγλαόπηχυς
a)glao/pistos,ἀγλαόπιστος
a)glaopoie/w,ἀγλαοποιέω
a)glao/s,ἀγλαός
a)glao/timos,ἀγλαότιμος
a)glaotri/aina^,ἀγλαοτρίαινα^
a)glao/fanton,ἀγλαόφαντον
a)glaofeggh/s,ἀγλαοφεγγής
a)glao/fhmos,ἀγλαόφημος
a)glao/foitos,ἀγλαόφοιτος
a)glao/fortos,ἀγλαόφορτος
a)glao/fwnos,ἀγλαόφωνος
a)glaofw=tis,ἀγλαοφῶτις
a)glao/xartos,ἀγλαόχαρτος
a)glaro/n,ἀγλαρόν
a)/glauros,ἄγλαυρος
a)glafo/re,ἀγλαφόρε
a)glafu/rws,ἀγλαφύρως
a)glaw/y,ἀγλαώψ
a)gleukh/s,ἀγλευκής
a)gleu&lt;ki&gt;ta/s,ἀγλευ&λτ;κι&γτ;τάς
a)gli/dia,ἀγλίδια
a)gli/h,ἀγλίη
a)gliqa/rion,ἀγλιθάριον
a)/glis,ἄγλις
a)/glisxros,ἄγλισχρος
a)gli/ths,ἀγλίτης
a)/glu,ἄγλυ
a)glukh/s,ἀγλυκής
a)/glufos,ἄγλυφος
a)glw=n,ἀγλῶν
a)glwssi/a,ἀγλωσσία
a)/glwssos,ἄγλωσσος
a)glw=sta,ἀγλῶστα
a)glwsti=nai,ἀγλωστῖναι
a)/gma,ἄγμα
a)gmei/ones,ἀγμείονες
a)gmo/s,ἀγμός
a)gnai=os,ἀγναῖος
a)/gnamptos,ἄγναμπτος
a)/gnaptos,ἄγναπτος
a)/gnafos,ἄγναφος
a(gnei/a,ἁγνεία
a(/gneuma,ἅγνευμα
a(gneuth/rion,ἁγνευτήριον
a(gneutiko/s,ἁγνευτικός
a(gneu/tria,ἁγνεύτρια
a(gneu/w,ἁγνεύω
a)gne/w,ἀγνέω
a(gnew/n,ἁγνεών
a(gniasmo/s,ἁγνιασμός
a(gni/zw,ἁγνίζω
a)/gninos,ἄγνινος
a(/gnisma,ἅγνισμα
a(gnismo/s,ἁγνισμός
a(gniste/os,ἁγνιστέος
a(gnisth/rion,ἁγνιστήριον
a(gnisth/s,ἁγνιστής
a(gnistiko/s,ἁγνιστικός
a(gni/ths,ἁγνίτης
a(gnodikei=s,ἁγνοδικεῖς
a)gnoe/w,ἀγνοέω
a)gno/hma,ἀγνόημα
a)gnohmati/zw,ἀγνοηματίζω
a)gno/hsis,ἀγνόησις
a)gnohte/on,ἀγνοητέον
a)gnohtiko/s,ἀγνοητικός
a)gnohto/s,ἀγνοητός
a)/gnoia^,ἄγνοια^
a)gnoih=si,ἀγνοιῆσι
a)gno/kokkos,ἀγνόκοκκος
a)gnoou/ntws,ἀγνοούντως
a(gnopole/omai,ἁγνοπολέομαι
a(gnopo/los,ἁγνοπόλος
a(gno/rutos,ἁγνόρυτος
a(gno/s,ἁγνός
a)/gnos,ἄγνος
a(gno/stomos,ἁγνόστομος
a(gnosu/nh,ἁγνοσύνη
a(gnotelh/s,ἁγνοτελής
a(gno/ths,ἁγνότης
